Campaign	Ad group	Keyword	Match type	Status
SiamScuba_Search_OWD	OWD_HE	קורס צלילה תאילנד	Phrase	Enabled
SiamScuba_Search_OWD	OWD_HE	קורס צלילה כוכב ראשון	Phrase	Enabled
SiamScuba_Search_OWD	OWD_HE	קורס צלילה קוטאו	Exact	Enabled
SiamScuba_Search_OWD	OWD_HE	קורס PADI תאילנד	Exact	Enabled
SiamScuba_Search_FunDive	FUN_EN	fun dive koh tao	Phrase	Enabled
SiamScuba_Search_FunDive	FUN_EN	scuba diving koh tao	Phrase	Enabled
SiamScuba_Search_FunDive	FUN_EN	sail rock dive trip	Phrase	Enabled
SiamScuba_Search_FunDive	FUN_EN	chumphon pinnacle dive	Phrase	Enabled
SiamScuba_Search_FunDive	FUN_EN	two tank dive koh tao	Phrase	Enabled
SiamScuba_Search_FunDive	FUN_EN	boat dive koh tao	Phrase	Enabled
SiamScuba_Search_FunDive	FUN_EN	certified diver koh tao	Phrase	Enabled
SiamScuba_Search_FunDive	FUN_EN	dive sites koh tao	Phrase	Enabled
SiamScuba_Search_FunDive	FUN_EN	padi 5 star koh tao	Phrase	Enabled
SiamScuba_Search_FunDive	FUN_EN	fun dive koh tao	Exact	Enabled
SiamScuba_Search_FunDive	FUN_EN	sail rock koh tao	Exact	Enabled
SiamScuba_Search_FunDive	FUN_ES	buceo koh tao	Phrase	Enabled
SiamScuba_Search_FunDive	FUN_ES	inmersiones koh tao	Phrase	Enabled
SiamScuba_Search_FunDive	FUN_ES	sail rock buceo	Phrase	Enabled
SiamScuba_Search_FunDive	FUN_ES	buceo certificados tailandia	Phrase	Enabled
SiamScuba_Search_FunDive	FUN_ES	centros de buceo koh tao	Phrase	Enabled
SiamScuba_Search_FunDive	FUN_ES	salida de buceo koh tao	Phrase	Enabled
SiamScuba_Search_FunDive	FUN_ES	buceo koh tao	Exact	Enabled
SiamScuba_Search_FunDive	FUN_ES	sail rock buceo	Exact	Enabled
SiamScuba_Search_FunDive	FUN_HE	צלילה בקוטאו	Phrase	Enabled
SiamScuba_Search_FunDive	FUN_HE	צלילות קוטאו	Phrase	Enabled
SiamScuba_Search_FunDive	FUN_HE	סייל רוק צלילה	Phrase	Enabled
SiamScuba_Search_FunDive	FUN_HE	צלילה תאילנד מוסמכים	Phrase	Enabled
SiamScuba_Search_FunDive	FUN_HE	מרכז צלילה קוטאו	Phrase	Enabled
SiamScuba_Search_FunDive	FUN_HE	צלילה בקוטאו	Exact	Enabled
SiamScuba_Search_FunDive	FUN_HE	סייל רוק	Exact	Enabled
